date,ret_1d,gross_ret,signal,pos_change,net_ret,buy_hold_equally_weighted,strategy_curve_gross,strategy_curve_net,strategy_dd
2024-04-26,0.006024447377371534,0.00017383195812947783,0.5,0.0,0.00017383195812947783,1.0091484504108172,0.9913779986843886,0.9909613401251718,-0.010228892618626806
2024-04-29,0.0016402813137485484,-0.00045276741543984753,0.5,0.0,-0.00045276741543984753,1.0108037377568244,0.9909291350302003,0.9905126651204025,-0.010677028724792925
2024-04-30,0.006835505135011554,0.005114773944945261,0.4,0.09999999999999998,0.005094773944945261,1.01771309189675,0.9959975135513399,0.9955591032387962,-0.0056366518276042
2024-05-01,-0.001580828753488206,-0.002464834747761613,0.2,0.2,-0.002504834747761613,1.0161042617782783,0.9935425442712544,0.9930653922035532,-0.008127367694007015
2024-05-02,0.0034894040825247164,-0.001055093259011952,0.3,0.09999999999999998,-0.0010750932590119521,1.019649860137598,0.9924942642302522,0.991997754294637,-0.009193723274797727
2024-05-03,-0.002882468599446797,-0.001656361808832807,0.3,0.0,-0.001656361808832807,1.0167107514333211,0.9908503346354957,0.9903546470999754,-0.010834856951517202
2024-05-06,0.0003266946736558252,-0.00030641637560478995,0.1,0.19999999999999998,-0.00034641637560478994,1.0170429054204628,0.9905467218671898,0.9900115720325636,-0.01117751995524674
2024-05-07,0.0007119063687258453,1.0939849035618288e-05,0.1,0.0,1.0939849035618288e-05,1.017766944742099,0.9905575582987898,0.9900224026097051,-0.01116670238659212
2024-05-08,-0.0037691632477746097,-0.001081658873067448,0.3,0.19999999999999998,-0.001121658873067448,1.013930814979177,0.9894861129265718,0.9889119351972824,-0.012275836028844744
2024-05-09,0.007545111804597315,0.0026795293441350676,0.3,0.0,0.0026795293441350676,1.0215810363403213,0.9921374700017728,0.9915617537464089,-0.009629200147572736
2024-05-10,-0.0002813565874946078,-0.005009509234611398,0.2,0.09999999999999998,-0.005029509234611398,1.0212936077860872,0.9871673481837949,0.9865746847492538,-0.014610279231120016
2024-05-13,-0.001132216006738851,0.0010898117979464051,0.3,0.09999999999999998,0.001069811797946405,1.0201372828157718,0.988243174806393,0.9876301339865539,-0.013556097682266288
2024-05-14,-0.001394132182999408,-0.00484781488006385,0.3,0.0,-0.00484781488006385,1.0187150765987207,0.9834523548384451,0.9828422859270144,-0.01833819511027046
2024-05-15,-0.002710109288324414,0.0009178977117204167,0.2,0.09999999999999998,0.0008978977117204168,1.0159542474074745,0.9843550635045373,0.9837247777665303,-0.017456763221976646
2024-05-16,0.0009393203856072563,0.000186046317474331,0.3,0.09999999999999998,0.000166046317474331,1.0169085539429086,0.9845381991391895,0.9838881216432868,-0.017293615535750262
2024-05-17,0.004546742588317254,0.004001700695709098,0.4,0.10000000000000003,0.003981700695709098,1.021532175373545,0.9884780263356371,0.9878056696617337,-0.013380772841051325
2024-05-20,0.0026497355880732098,-0.0009447010093291075,0.3,0.10000000000000003,-0.0009647010093291076,1.024238965532994,0.9875442101464582,0.98685273253519,-0.014332565405315023
2024-05-21,-0.006664654633887201,-0.0007128465229767289,0.3,0.0,-0.0007128465229767289,1.0174127665651467,0.9868402426899695,0.9861492579961122,-0.015035195008877289
2024-05-22,0.005205233033249301,0.0005512581991595433,0.3,0.0,0.0005512581991595433,1.0227086371061211,0.987384246465013,0.9866928808601777,-0.014492225084242305
2024-05-23,-0.0038362724222165577,-0.004596919613397732,0.4,0.10000000000000003,-0.004616919613397732,1.0187852481656283,0.9828453204564781,0.9821373991461344,-0.019042235259406848
2024-05-24,0.0037877756620042446,-0.0011544660329819046,0.4,0.0,-0.0011544660329819046,1.022644178133439,0.981710658918336,0.9810035548790991,-0.020174717678589582
